GeneID	cluster#	1hr	3hr	6hr	12hr	24hr
 1444399_at 	5	0.4	0.8	1.9	1.5	2
 1449049_at 	5	0.1	0.6	1.1	2.5	1.4
 1460316_at 	5	-0.1	0.8	1.2	2.4	1
 1436625_at 	5	-0.3	0	1.7	1.9	2.1
 1448016_at 	5	0	0.3	1.7	2.4	2
 1448632_at 	5	0	0.4	1.3	2.1	2
 1460307_at 	5	0	0	1.2	2.2	1.9
 1415922_s_at 	5	0.5	1.8	2.3	2.7	0.8
 1447100_s_at 	5	0.1	1.4	2.1	2.4	0.8
 1458803_at 	5	-0.1	1.6	2.1	1.8	1.4
 1459137_at 	5	0.1	1.9	2.3	2	1
 1460203_at 	5	-0.3	-0.1	2.3	2.9	1.2
 1449124_at 	5	-0.3	-0.2	1	2.9	2.8
 1460268_at 	5	-0.8	-0.1	0.9	2.7	2.8
 1416016_at 	5	-0.1	1.7	2.8	3.4	3.2
 1429184_at 	5	0	2.3	2.9	3.2	3.2
 1460603_at 	5	0.3	2.2	2.9	3.1	2.6
 1436562_at 	5	0	2.5	4	4.1	3.8
 1415802_at 	6	-0.2	-0.4	-1.4	-2.3	-2
 1448777_at 	6	-0.2	-0.5	-1.4	-2.2	-2
 1416030_a_at 	6	0	-0.3	-1.2	-2.2	-2.2
 1436706_at 	6	-0.3	-0.3	-1.1	-2.4	-2.1
 1415917_at 	6	-0.1	-0.3	-1	-2.6	-2.4
 1449061_a_at 	6	-0.3	-0.4	-1.2	-2.9	-2.3
 1415993_at 	6	0	-0.3	-1.4	-2.5	-1.6
 1416015_s_at 	6	0	-0.2	-1.1	-2.6	-1.6
 1460353_at 	6	-0.1	-0.3	-1	-2.8	-1.6
 1428797_at 	6	-0.1	-0.5	-1.1	-2.6	-1.3
 1416014_at 	6	0	-0.1	-1.1	-2.3	-1.7
 1436705_at 	6	-0.1	-0.1	-1	-2.2	-1.5
 1436181_at 	6	-0.2	-0.6	-1.4	-2.3	-1.5
